Agency,Station Name,Line,Artist,Art Title,Art Date,Art Material,Art Image Link
NYCT,50 St,D,Dan Zeller,Internal Connectivity,2012,Laminated glass,https://new.mta.info/agency/arts-design/collection/internal-connectivity
NYCT,Avenue H,Q,Ed Kopel,Brooklyn Bucolic,2012,Bronze,https://new.mta.info/agency/arts-design/collection/brooklyn-bucolic
NYCT,18 Av,D,Francesco Simeti,Bensonhurst Gardens,2012,Laminated glass,https://new.mta.info/agency/arts-design/collection/bensonhurst-gardens
Metro-North,Tarrytown,Hudson,Holly Sears,Hudson River Explorers,2012,Laminated glass,https://new.mta.info/agency/arts-design/collection/hudson-river-explorers
NYCT,71 St,D,Joan Linder,The Flora of Bensonhurst,2012,Laminated glass,https://new.mta.info/agency/arts-design/collection/flora-of-bensonhurst
Metro-North,Peekskill,Hudson,Joy Taylor,Jan Peeck's Vine,2012,Various,https://new.mta.info/agency/arts-design/collection/jan-peecks-vine
NYCT,Broadway-Lafayette St / Bleecker St,6;B;D;F;M,Leo Villareal,Hive (Bleecker Street),2012,LED tubes; custom software; electrical hardware; aluminum; stainless steel,https://new.mta.info/agency/arts-design/collection/hive-bleecker-street
NYCT,20 Av,D,Odili Donald Odita,Kaleidoscope,2012,Laminated glass,https://new.mta.info/agency/arts-design/collection/kaleidoscope
NYCT,Fort Hamilton Pkwy,D,Portia Munson,Gardens of Fort Hamilton Parkway Station,2012,Laminated Glass,https://new.mta.info/agency/arts-design/collection/gardens-of-fort-hamilton-parkway-station
NYCT,79 St,D,Susanna Starr,A Continuous Thread,2012,Laminated glass,https://new.mta.info/agency/arts-design/collection/a-continuous-thread
NYCT,Hunters Point Av,7,Tricia Keightley,Hunters Point Project,2012,Glass mosaic,https://new.mta.info/agency/arts-design/collection/hunters-point-avenue-project
NYCT,Bay Pkwy,D,Xin Song,Tree of Life,2012,Laminated glass,https://new.mta.info/agency/arts-design/collection/tree-of-life
NYCT,Smith-9th Sts,F,Alyson Shotz,Nautical Chartsâ-Gowanus & Red Hook from 1733â-1922; Fathom Points + Compass Bearings,2013,Glass mosaic and laminated glass,https://new.mta.info/arts-and-design/collection/nautical-charts
NYCT,Knickerbocker Av,M,Cal Lane,The Digs,2013,Steel,https://new.mta.info/agency/arts-design/collection/the-digs
Metro-North,Croton-Harmon,Hudson,Corinne Ulmann,Croton-Harmon Station,2013,Laminated glass in windows in south overpassMosaic;  vinyl in north overpass,https://new.mta.info/agency/arts-design/collection/croton-harmon-station
NYCT,Central Av,M,George Bates,Generation Dynamica,2013,stainless steel,https://new.mta.info/agency/arts-design/collection/generation-dynamica
NYCT,Fresh Pond Rd,M,Laura F. Gibellini,Dom (Variations),2013,Glass mosaic and photo-engraved tiles,https://new.mta.info/agency/arts-design/collection/dom-variations
NYCT,Seneca Av,M,Laura F. Gibellini,Dom (Variations),2013,Laminated glass,https://new.mta.info/agency/arts-design/collection/dom-variations
NYCT,Forest Av,M,Laura F. Gibellini,Dom (Variations),2013,Laminated Glass,https://new.mta.info/agency/arts-design/collection/dom-variations
MTA Bus Company,Mother Clara Hale Bus Depot,,Shinique Smith,Mother Hale's Garden,2013,Mosaic/Tile; Laminated glass,https://new.mta.info/agency/arts-design/collection/mother-hales-garden
